Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,256,ADISOFT,SM,21600,14400,66.67
20,257,ADL,EQ,2542,2418,95.12
20,258,ADOR,EQ,70837,23145,32.67
20,259,ADROITINFO,EQ,9438,8980,95.15
20,260,ADSL,EQ,92274,36434,39.48
20,261,ADVAIT,EQ,34575,19107,55.26
20,262,ADVANCE,EQ,112292,63379,56.44
20,263,ADVANIHOTR,EQ,14995,9337,62.27
20,264,ADVENTHTL,EQ,128667,65800,51.14
20,265,ADVENZYMES,EQ,238608,130922,54.87
20,266,AEGISLOG,EQ,2812560,512110,18.21
20,267,AEGISVOPAK,EQ,1932179,676442,35.01
20,268,AEL1212026,NO,29,29,100.00
20,269,AEL170725,ND,82,82,100.00
20,270,AEPL,EQ,3335,2302,69.03
20,271,AEQUS,EQ,2853387,1124602,39.41
20,272,AEROENTER,EQ,354476,167099,47.14
20,273,AEROFLEX,EQ,859625,365781,42.55
20,274,AERON,SM,13000,10000,76.92
20,275,AERONEU,EQ,44763,6720,15.01
20,276,AETHER,EQ,190667,99909,52.40
20,277,AFCONS,EQ,25052215,3176611,12.68
20,278,AFFLE,EQ,179770,77018,42.84
20,279,AFSL,EQ,2233,1489,66.68
20,280,AGARIND,EQ,77588,35337,45.54
20,281,AGARWALEYE,EQ,89927,45849,50.98
20,282,AGARWALTUF,SM,96000,85200,88.75
20,283,AGI,EQ,68425,35849,52.39
20,284,AGIIL,EQ,1705099,296759,17.40
20,285,AGL,EQ,12690614,9338073,73.58
20,286,AGNI,SM,7500,5000,66.67
20,287,AGROPHOS,EQ,6379,5609,87.93
20,288,AHCL,EQ,2992300,1530738,51.16
20,289,AHLADA,EQ,7014,4707,67.11
20,290,AHLEAST,EQ,4865,4448,91.43
20,291,AHLUCONT,EQ,21406,9131,42.66
20,292,AIAENG,EQ,49369,27964,56.64
20,293,AIIL,EQ,2640042,523868,19.84
20,294,AILIMITED,ST,3000,3000,100.00
20,295,AIMTRON,SM,28600,19000,66.43
20,296,AIRAN,EQ,50525,43515,86.13
20,297,AIROLAM,EQ,4060,2529,62.29
20,298,AISL,SM,1800,1800,100.00
20,299,AJANTPHARM,EQ,93411,43261,46.31
20,300,AJAXENGG,EQ,43538,23984,55.09
20,301,AJMERA,EQ,563962,242274,42.96
20,302,AJOONI,EQ,193010,155101,80.36
20,303,AKANKSHA,ST,10000,10000,100.00
20,304,AKASH,EQ,7256,7114,98.04
20,305,AKCAPIT,EQ,4669,4401,94.26
20,306,AKG,EQ,16115,14908,92.51
20,307,AKI,EQ,70167,44623,63.60
20,308,AKIKO,ST,64000,61600,96.25
20,309,AKSHAR,EQ,538396,329571,61.21
20,310,AKUMS,EQ,417269,219107,52.51
20,311,ALANKIT,EQ,98146,64784,66.01
20,312,ALBERTDAVD,EQ,1328,1056,79.52
20,313,ALEMBICLTD,EQ,136984,80839,59.01
20,314,ALGOQUANT,EQ,2384126,759403,31.85
